DateTime,kW
06/01/2021 17.00,936
06/01/2021 17.15,444
06/01/2021 17.30,156
06/01/2021 17.45,60
06/01/2021 18.00,0
06/01/2021 18.15,0
06/01/2021 18.30,0
06/01/2021 18.45,0
06/01/2021 19.00,0
06/01/2021 19.15,0
06/01/2021 19.30,0
06/01/2021 19.45,0
06/01/2021 20.00,0
06/01/2021 20.15,0
06/01/2021 20.30,0
06/01/2021 20.45,0
06/01/2021 21.00,0
06/01/2021 21.15,0
06/01/2021 21.30,0
06/01/2021 21.45,0
06/01/2021 22.00,0
06/01/2021 22.15,0
06/01/2021 22.30,0
06/01/2021 22.45,0
06/01/2021 23.00,0
06/01/2021 23.15,0
06/01/2021 23.30,0
06/01/2021 23.45,0
06/01/2021 24.00,0
07/01/2021 00.15,0
07/01/2021 00.30,0
07/01/2021 00.45,0
07/01/2021 01.00,0
07/01/2021 01.15,0
07/01/2021 01.30,0
07/01/2021 01.45,0
07/01/2021 02.00,0
07/01/2021 02.15,0
07/01/2021 02.30,0
07/01/2021 02.45,0
07/01/2021 03.00,0
07/01/2021 03.15,0
07/01/2021 03.30,0
07/01/2021 03.45,0
07/01/2021 04.00,0
07/01/2021 04.15,0
07/01/2021 04.30,0
07/01/2021 04.45,0
07/01/2021 05.00,0
07/01/2021 05.15,0
07/01/2021 05.30,0
07/01/2021 05.45,0
07/01/2021 06.00,0
07/01/2021 06.15,0
07/01/2021 06.30,0
07/01/2021 06.45,0
07/01/2021 07.00,48
07/01/2021 07.15,156
07/01/2021 07.30,276
07/01/2021 07.45,1008
07/01/2021 08.00,1572
07/01/2021 08.15,1956
07/01/2021 08.30,2352
07/01/2021 08.45,2736
07/01/2021 09.00,3048
07/01/2021 09.15,3372
07/01/2021 09.30,3636
07/01/2021 09.45,3912
07/01/2021 10.00,4152
07/01/2021 10.15,4344
07/01/2021 10.30,4560
07/01/2021 10.45,4752
07/01/2021 11.00,4776
07/01/2021 11.15,4896
07/01/2021 11.30,4944
07/01/2021 11.45,5052
07/01/2021 12.00,5088
07/01/2021 12.15,5088
07/01/2021 12.30,5076
07/01/2021 12.45,5016
07/01/2021 13.00,4884
07/01/2021 13.15,4764
07/01/2021 13.30,4596
07/01/2021 13.45,4536
07/01/2021 14.00,4464
07/01/2021 14.15,3960
07/01/2021 14.30,4044
07/01/2021 14.45,4008
07/01/2021 15.00,3612
07/01/2021 15.15,2760
07/01/2021 15.30,3072
07/01/2021 15.45,2760
07/01/2021 16.00,2400
07/01/2021 16.15,2052
07/01/2021 16.30,1560
07/01/2021 16.45,1200
07/01/2021 17.00,816
07/01/2021 17.15,444
07/01/2021 17.30,156
07/01/2021 17.45,48
07/01/2021 18.00,0
07/01/2021 18.15,0
07/01/2021 18.30,0
07/01/2021 18.45,0
07/01/2021 19.00,0
07/01/2021 19.15,0
07/01/2021 19.30,0
07/01/2021 19.45,0
07/01/2021 20.00,0
07/01/2021 20.15,0
07/01/2021 20.30,0
07/01/2021 20.45,0
07/01/2021 21.00,0
07/01/2021 21.15,0
07/01/2021 21.30,0
07/01/2021 21.45,0
07/01/2021 22.00,0
07/01/2021 22.15,0
07/01/2021 22.30,0
07/01/2021 22.45,0
07/01/2021 23.00,0
07/01/2021 23.15,0
07/01/2021 23.30,0
07/01/2021 23.45,0
07/01/2021 24.00,0
08/01/2021 00.15,0
08/01/2021 00.30,0
08/01/2021 00.45,0
08/01/2021 01.00,0
08/01/2021 01.15,0
08/01/2021 01.30,0
08/01/2021 01.45,0
08/01/2021 02.00,0
08/01/2021 02.15,0
08/01/2021 02.30,0
08/01/2021 02.45,0
08/01/2021 03.00,0
08/01/2021 03.15,0
08/01/2021 03.30,0
08/01/2021 03.45,0
08/01/2021 04.00,0
08/01/2021 04.15,0
08/01/2021 04.30,0
08/01/2021 04.45,0
08/01/2021 05.00,0
08/01/2021 05.15,0
08/01/2021 05.30,0
08/01/2021 05.45,0
08/01/2021 06.00,0
08/01/2021 06.15,0
08/01/2021 06.30,0
08/01/2021 06.45,0
08/01/2021 07.00,72
08/01/2021 07.15,168
08/01/2021 07.30,288
08/01/2021 07.45,972
08/01/2021 08.00,1584
08/01/2021 08.15,1980
08/01/2021 08.30,2376
08/01/2021 08.45,2760
08/01/2021 09.00,3132
08/01/2021 09.15,3468
08/01/2021 09.30,3768
08/01/2021 09.45,4008
08/01/2021 10.00,4248
08/01/2021 10.15,4464
08/01/2021 10.30,4632
08/01/2021 10.45,4752
08/01/2021 11.00,4848
08/01/2021 11.15,4776
08/01/2021 11.30,4632
08/01/2021 11.45,4656
08/01/2021 12.00,4020
08/01/2021 12.15,4152
08/01/2021 12.30,4524
08/01/2021 12.45,4236
08/01/2021 13.00,4128
08/01/2021 13.15,3972
08/01/2021 13.30,3972
08/01/2021 13.45,3756
08/01/2021 14.00,3456
08/01/2021 14.15,3492
08/01/2021 14.30,3360
08/01/2021 14.45,3288
08/01/2021 15.00,2484
08/01/2021 15.15,2664
08/01/2021 15.30,2736
08/01/2021 15.45,2748
08/01/2021 16.00,2496
08/01/2021 16.15,2280
08/01/2021 16.30,1848
08/01/2021 16.45,1224
08/01/2021 17.00,912
08/01/2021 17.15,540
08/01/2021 17.30,204
08/01/2021 17.45,60
08/01/2021 18.00,0
08/01/2021 18.15,0
08/01/2021 18.30,0
08/01/2021 18.45,0
08/01/2021 19.00,0
08/01/2021 19.15,0
08/01/2021 19.30,0
08/01/2021 19.45,0
08/01/2021 20.00,0
08/01/2021 20.15,0
08/01/2021 20.30,0
08/01/2021 20.45,0
08/01/2021 21.00,0
08/01/2021 21.15,0
08/01/2021 21.30,0
08/01/2021 21.45,0
08/01/2021 22.00,0
08/01/2021 22.15,0
08/01/2021 22.30,0
08/01/2021 22.45,0
08/01/2021 23.00,0
08/01/2021 23.15,0
08/01/2021 23.30,0
08/01/2021 23.45,0
08/01/2021 24.00,0
09/01/2021 00.15,0
09/01/2021 00.30,0
09/01/2021 00.45,0
09/01/2021 01.00,0
09/01/2021 01.15,0
09/01/2021 01.30,0
09/01/2021 01.45,0
09/01/2021 02.00,0
09/01/2021 02.15,0
09/01/2021 02.30,0
09/01/2021 02.45,0
09/01/2021 03.00,0
09/01/2021 03.15,0
09/01/2021 03.30,0
09/01/2021 03.45,0
09/01/2021 04.00,0
09/01/2021 04.15,0
09/01/2021 04.30,0
09/01/2021 04.45,0
09/01/2021 05.00,0
09/01/2021 05.15,0
09/01/2021 05.30,0
09/01/2021 05.45,0
09/01/2021 06.00,0
09/01/2021 06.15,0
09/01/2021 06.30,0
09/01/2021 06.45,12
09/01/2021 07.00,96
09/01/2021 07.15,300
09/01/2021 07.30,540
09/01/2021 07.45,1320
09/01/2021 08.00,1776
09/01/2021 08.15,1392
09/01/2021 08.30,1464
09/01/2021 08.45,1476
09/01/2021 09.00,2472
09/01/2021 09.15,3228
09/01/2021 09.30,3672
09/01/2021 09.45,4068
09/01/2021 10.00,4344
09/01/2021 10.15,4488
09/01/2021 10.30,4740
09/01/2021 10.45,4788
09/01/2021 11.00,4896
09/01/2021 11.15,5088
09/01/2021 11.30,5160
09/01/2021 11.45,5256
09/01/2021 12.00,5280
09/01/2021 12.15,5292
09/01/2021 12.30,5280
09/01/2021 12.45,5208
09/01/2021 13.00,5124
09/01/2021 13.15,4992
09/01/2021 13.30,4812
09/01/2021 13.45,4584
09/01/2021 14.00,4284
09/01/2021 14.15,3768
09/01/2021 14.30,3948
09/01/2021 14.45,3984
09/01/2021 15.00,3864
09/01/2021 15.15,3588
09/01/2021 15.30,3300
09/01/2021 15.45,2940
09/01/2021 16.00,2616
09/01/2021 16.15,2244
09/01/2021 16.30,1788
09/01/2021 16.45,1440
09/01/2021 17.00,912
09/01/2021 17.15,468
09/01/2021 17.30,180
09/01/2021 17.45,72
09/01/2021 18.00,0
09/01/2021 18.15,0
09/01/2021 18.30,0
09/01/2021 18.45,0
09/01/2021 19.00,0
09/01/2021 19.15,0
09/01/2021 19.30,0
09/01/2021 19.45,0
09/01/2021 20.00,0
09/01/2021 20.15,0
09/01/2021 20.30,0
09/01/2021 20.45,0
09/01/2021 21.00,0
09/01/2021 21.15,0
09/01/2021 21.30,0
09/01/2021 21.45,0
09/01/2021 22.00,0
09/01/2021 22.15,0
09/01/2021 22.30,0
09/01/2021 22.45,0
09/01/2021 23.00,0
09/01/2021 23.15,0
09/01/2021 23.30,0
09/01/2021 23.45,0
09/01/2021 24.00,0
10/01/2021 00.15,0
10/01/2021 00.30,0
10/01/2021 00.45,0
10/01/2021 01.00,0
10/01/2021 01.15,0
10/01/2021 01.30,0
10/01/2021 01.45,0
10/01/2021 02.00,0
10/01/2021 02.15,0
10/01/2021 02.30,0
10/01/2021 02.45,0
10/01/2021 03.00,0
10/01/2021 03.15,0
10/01/2021 03.30,0
10/01/2021 03.45,0
10/01/2021 04.00,0
10/01/2021 04.15,0
10/01/2021 04.30,0
10/01/2021 04.45,0
10/01/2021 05.00,0
10/01/2021 05.15,0
10/01/2021 05.30,0
10/01/2021 05.45,0
10/01/2021 06.00,0
10/01/2021 06.15,0
10/01/2021 06.30,0
10/01/2021 06.45,0
10/01/2021 07.00,48
10/01/2021 07.15,156
10/01/2021 07.30,288
10/01/2021 07.45,1008
10/01/2021 08.00,1620
10/01/2021 08.15,2052
10/01/2021 08.30,2436
10/01/2021 08.45,2784
10/01/2021 09.00,3156
10/01/2021 09.15,3504
10/01/2021 09.30,3792
10/01/2021 09.45,4056
10/01/2021 10.00,4320
10/01/2021 10.15,4524
10/01/2021 10.30,4704
10/01/2021 10.45,4872
10/01/2021 11.00,5016
10/01/2021 11.15,5100
10/01/2021 11.30,5160
10/01/2021 11.45,5220
10/01/2021 12.00,5208
10/01/2021 12.15,5232
10/01/2021 12.30,5172
10/01/2021 12.45,5112
10/01/2021 13.00,4968
10/01/2021 13.15,4848
10/01/2021 13.30,4608
10/01/2021 13.45,4524
10/01/2021 14.00,4248
10/01/2021 14.15,4296
10/01/2021 14.30,4104
10/01/2021 14.45,3936
10/01/2021 15.00,3696
10/01/2021 15.15,3468
10/01/2021 15.30,3228
10/01/2021 15.45,2904
10/01/2021 16.00,2556
10/01/2021 16.15,2208
10/01/2021 16.30,1812
10/01/2021 16.45,1392
10/01/2021 17.00,1008
10/01/2021 17.15,564
10/01/2021 17.30,180
10/01/2021 17.45,72
10/01/2021 18.00,0
10/01/2021 18.15,0
10/01/2021 18.30,0
10/01/2021 18.45,0
10/01/2021 19.00,0
10/01/2021 19.15,0
10/01/2021 19.30,0
10/01/2021 19.45,0
10/01/2021 20.00,0
10/01/2021 20.15,0
10/01/2021 20.30,0
10/01/2021 20.45,0
10/01/2021 21.00,0
10/01/2021 21.15,0
10/01/2021 21.30,0
10/01/2021 21.45,0
10/01/2021 22.00,0
10/01/2021 22.15,0
10/01/2021 22.30,0
10/01/2021 22.45,0
10/01/2021 23.00,0
10/01/2021 23.15,0
10/01/2021 23.30,0
10/01/2021 23.45,0
10/01/2021 24.00,0
11/01/2021 00.15,0
11/01/2021 00.30,0
11/01/2021 00.45,0
11/01/2021 01.00,0
11/01/2021 01.15,0
11/01/2021 01.30,0
11/01/2021 01.45,0
11/01/2021 02.00,0
11/01/2021 02.15,0
11/01/2021 02.30,0
11/01/2021 02.45,0
11/01/2021 03.00,0
11/01/2021 03.15,0
11/01/2021 03.30,0
11/01/2021 03.45,0
11/01/2021 04.00,0
11/01/2021 04.15,0
11/01/2021 04.30,0
11/01/2021 04.45,0
11/01/2021 05.00,0
11/01/2021 05.15,0
11/01/2021 05.30,0
11/01/2021 05.45,0
11/01/2021 06.00,0
11/01/2021 06.15,0
11/01/2021 06.30,0
11/01/2021 06.45,0
11/01/2021 07.00,48
11/01/2021 07.15,156
11/01/2021 07.30,300
11/01/2021 07.45,1044
11/01/2021 08.00,1584
11/01/2021 08.15,1980
11/01/2021 08.30,2400
11/01/2021 08.45,2784
11/01/2021 09.00,3120
11/01/2021 09.15,3516
11/01/2021 09.30,3816
